InvoiceDetailID|UID|InvoiceID|ProductServicesID|Price|Qty|SubTotal|Total
467439|24573|212752|615984|1660.00|1.0000000000|1660.00|1660.00
467440|24573|219598|615984|1660.00|1.0000000000|1660.00|1660.00
467441|24573|212754|615984|1660.00|1.0000000000|1660.00|1660.00
467442|24573|219599|615984|1660.00|1.0000000000|1660.00|1660.00
467443|24573|212757|615984|1660.00|1.0000000000|1660.00|1660.00
467444|24573|219603|615984|1660.00|1.0000000000|1660.00|1660.00
467445|24573|220652|615984|1660.00|1.0000000000|1660.00|1660.00
467446|24573|218728|615984|1660.00|1.0000000000|1660.00|1660.00
467447|24573|219236|615984|1660.00|1.0000000000|1660.00|1660.00
467448|24573|219258|615984|1660.00|1.0000000000|1660.00|1660.00
467449|24573|218710|615984|1660.00|1.0000000000|1660.00|1660.00
467450|24573|218725|615984|1660.00|1.0000000000|1660.00|1660.00
467451|24573|220648|615984|1660.00|1.0000000000|1660.00|1660.00
467452|24573|218727|615984|1660.00|1.0000000000|1660.00|1660.00
467453|24573|219114|615984|1660.00|1.0000000000|1660.00|1660.00
467454|24573|219205|615984|1660.00|1.0000000000|1660.00|1660.00
467455|24573|219251|615984|1660.00|1.0000000000|1660.00|1660.00
467456|24573|220634|615984|1660.00|1.0000000000|1660.00|1660.00
467457|24573|218701|615984|1660.00|1.0000000000|1660.00|1660.00
467458|24573|219210|615984|1660.00|1.0000000000|1660.00|1660.00
467459|24573|220608|615984|1660.00|1.0000000000|1660.00|1660.00
467460|24573|218653|615984|1660.00|1.0000000000|1660.00|1660.00
467461|24573|218655|615984|1660.00|1.0000000000|1660.00|1660.00
467462|24573|220617|615984|1660.00|1.0000000000|1660.00|1660.00
467463|24573|220619|615984|1660.00|1.0000000000|1660.00|1660.00
467464|24573|219111|615984|1660.00|1.0000000000|1660.00|1660.00
467465|24573|219912|615984|1660.00|1.0000000000|1660.00|1660.00
467466|24573|219107|615984|1660.00|1.0000000000|1660.00|1660.00
467467|24573|213528|615984|1660.00|1.0000000000|1660.00|1660.00
467468|24573|213529|615984|1660.00|1.0000000000|1660.00|1660.00
467469|24573|219904|615984|1660.00|1.0000000000|1660.00|1660.00
467470|24573|219223|615984|1660.00|1.0000000000|1660.00|1660.00
467471|24573|213459|615984|1660.00|1.0000000000|1660.00|1660.00
467472|24573|213460|615984|1660.00|1.0000000000|1660.00|1660.00
467473|24573|213451|615984|1660.00|1.0000000000|1660.00|1660.00
467474|24573|213533|615984|1660.00|1.0000000000|1660.00|1660.00
467475|24573|213646|615984|1660.00|1.0000000000|1660.00|1660.00
467476|24573|219080|615984|1660.00|1.0000000000|1660.00|1660.00
467477|24573|218956|615984|1660.00|1.0000000000|1660.00|1660.00
467478|24573|219052|615984|1660.00|1.0000000000|1660.00|1660.00
467479|24573|219082|615984|1660.00|1.0000000000|1660.00|1660.00
467480|24573|219180|615984|1660.00|1.0000000000|1660.00|1660.00
467481|24573|219190|615984|1660.00|1.0000000000|1660.00|1660.00
467482|24573|219132|615984|1660.00|1.0000000000|1660.00|1660.00
467483|24573|220566|615984|1660.00|1.0000000000|1660.00|1660.00
467484|24573|218879|615984|1660.00|1.0000000000|1660.00|1660.00
467485|24573|218957|615984|1660.00|1.0000000000|1660.00|1660.00
467486|24573|218951|615984|1660.00|1.0000000000|1660.00|1660.00
467487|24573|218569|615984|1660.00|1.0000000000|1660.00|1660.00
467488|24573|218954|615984|1660.00|1.0000000000|1660.00|1660.00
467489|24573|220559|615984|1660.00|1.0000000000|1660.00|1660.00
467490|24573|219031|615984|1660.00|1.0000000000|1660.00|1660.00
467491|24573|216336|615984|1660.00|1.0000000000|1660.00|1660.00
467492|24573|220563|615984|1660.00|1.0000000000|1660.00|1660.00
467493|24573|220564|615984|1660.00|1.0000000000|1660.00|1660.00
467494|24573|220565|615984|1660.00|1.0000000000|1660.00|1660.00
467495|24573|220552|615984|1660.00|1.0000000000|1660.00|1660.00
467496|24573|218526|615984|1660.00|1.0000000000|1660.00|1660.00
467497|24573|218972|615984|1660.00|1.0000000000|1660.00|1660.00
467498|24573|218975|615984|1660.00|1.0000000000|1660.00|1660.00
467499|24573|220557|615984|1660.00|1.0000000000|1660.00|1660.00
467500|24573|220558|615984|1660.00|1.0000000000|1660.00|1660.00
467501|24573|218501|615984|1660.00|1.0000000000|1660.00|1660.00
467502|24573|220544|615984|1660.00|1.0000000000|1660.00|1660.00
467503|24573|218502|615984|1660.00|1.0000000000|1660.00|1660.00
467504|24573|218930|615984|1660.00|1.0000000000|1660.00|1660.00
467505|24573|218850|615984|1660.00|1.0000000000|1660.00|1660.00
467506|24573|218926|615984|1660.00|1.0000000000|1660.00|1660.00
467507|24573|219084|615984|1660.00|1.0000000000|1660.00|1660.00
467508|24573|218473|615984|1660.00|1.0000000000|1660.00|1660.00
467509|24573|220536|615984|1660.00|1.0000000000|1660.00|1660.00
467510|24573|218496|615984|1660.00|1.0000000000|1660.00|1660.00
467511|24573|218904|615984|1660.00|1.0000000000|1660.00|1660.00
467512|24573|218905|615984|1660.00|1.0000000000|1660.00|1660.00
467513|24573|218853|615984|1660.00|1.0000000000|1660.00|1660.00
467514|24573|218898|615984|1660.00|1.0000000000|1660.00|1660.00
