"rules","support","confidence","lift","count"
"3","{Teddy} => {Cadbury Dairy Milk}",0.00258762133992526,0.276875483372003,18.1545023696682,358
"12","{Truffle Cake} => {Fresh Flower}",0.010198697515739,0.250889046941679,0.797343406919536,1411
"5","{Teddy} => {Fresh Flower}",0.00208888985262123,0.223511214230472,0.710334688627019,289
"6","{Blackforest Cake} => {Fresh Flower}",0.00366459223279918,0.215652913653764,0.685360445108583,507
"1","{Pineapple Cake} => {Fresh Flower}",0.00258762133992526,0.210340775558167,0.668478088788917,358
"11","{Greeting Card} => {Fresh Flower}",0.00357062832939408,0.181751287711553,0.577618643470035,494
"4","{Cadbury Dairy Milk} => {Teddy}",0.00258762133992526,0.169668246445498,18.1545023696682,358
"8","{Cadbury Dairy Milk} => {Fresh Flower}",0.00242860550339354,0.159241706161137,0.506081576943917,336
"2","{Ferraro Rocher} => {Fresh Flower}",0.00202383791949462,0.155382907880133,0.493818038915864,280
"7","{Cadbury Dairy Milk} => {Truffle Cake}",0.00214671379317822,0.140758293838863,3.4626690453237,297
"9","{Chocolate Cake} => {Fresh Flower}",0.00327428063403951,0.122897449810092,0.390576920466682,453
"10","{Greeting Card} => {Red Roses}",0.00200215394178575,0.101913171449595,1.49457167513493,277
